triple,type,answer,link,statement
 kills bacteria,1,"Penicillin kills bacteria)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"Penicillin kills:(Penicillin kills bacteria by interfering with the ability)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"paint kills bacteria hospitals)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says its new paint kills bacteria and can be applied to hospital walls, doors)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Oct 31 says:(its new paint kills bacteria)
 ","http://money.cnn.com/2015/10/31/news/sherwin-williams-paint-kills-bacteria/
","Oct 31, 2015 ... sherwin williams paint kills bacteria hospitals Sherwin-Williams says its new paint kills bacteria and can be applied to hospital walls, doors and...
"
 kills bacteria,1,"Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and)
 ","http://www.telegraph.co.uk/foodanddrink/11595559/Junk-food-kills-bacteria-that-protect-against-obesity-heart-disease-and-cancer-study-finds.html
","Eating junk food kills stomach bacteria which protect against obesity, diabetes, cancer, heart disease, inflammatory bowel conditions and...
"
 kills bacteria,1,"Emily, and I'd like to show you Alexander Fleming's famous discovery that bread mold kills bacteria.
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,1,"that bread mold kills bacteria)
 ","https://www.khanacademy.org/partner-content/mit-k12/mit-k12-biology/v/bread-mold-kills-bacteria
","
"
 kills bacteria,1,"Penicillin kills bacteria)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
 kills bacteria,1,"Penicillin kills:(Penicillin kills bacteria by interfering with the ability)
 ","http://www.cellsalive.com/pen.htm
","Penicillin kills bacteria by interfering with the ability to synthesize cell wall.
"
